id,title,album,views,videos,tt_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,duration_mins
465eCPwUAz2qz7IdQaxUui,Rare,King's Disease II,21300000,16,6.992333539338127e+18,66.0,0.498,0.851,8.0,-5.496,1.0,0.326,0.132,4.21e-06,0.529,0.518,78.025,audio_features,spotify:track:465eCPwUAz2qz7IdQaxUui,https://api.spotify.com/v1/tracks/465eCPwUAz2qz7IdQaxUui,https://api.spotify.com/v1/audio-analysis/465eCPwUAz2qz7IdQaxUui,206778.0,4.0,3.4463
3UxSBIbSYq4mOquIolTreo,Trap Sax,Trap Sax,4000000,3,6.857662369795934e+18,52.0,0.876,0.422,7.0,-8.237,0.0,0.173,0.75,0.84,0.102,0.459,124.971,audio_features,spotify:track:3UxSBIbSYq4mOquIolTreo,https://api.spotify.com/v1/tracks/3UxSBIbSYq4mOquIolTreo,https://api.spotify.com/v1/audio-analysis/3UxSBIbSYq4mOquIolTreo,155089.0,4.0,2.5848166666666668
3aLZ0s5ulFLcFCtIZQblpo,Hauseingang,Hauseingang,38000,1,6.926413228436916e+18,63.0,0.549,0.396,8.0,-8.435,0.0,0.437,0.168,0.0777,0.147,0.284,79.494,audio_features,spotify:track:3aLZ0s5ulFLcFCtIZQblpo,https://api.spotify.com/v1/tracks/3aLZ0s5ulFLcFCtIZQblpo,https://api.spotify.com/v1/audio-analysis/3aLZ0s5ulFLcFCtIZQblpo,141452.0,4.0,2.3575333333333335
74D2hhYPAPrXCoVGsacaTE,Squid Game - Deephouse Remix,Squid Game - Deephouse Remix,2700000,1,7.01433980768674e+18,45.0,0.748,0.855,3.0,-5.143,1.0,0.0369,0.146,0.612,0.23,0.636,114.995,audio_features,spotify:track:74D2hhYPAPrXCoVGsacaTE,https://api.spotify.com/v1/tracks/74D2hhYPAPrXCoVGsacaTE,https://api.spotify.com/v1/audio-analysis/74D2hhYPAPrXCoVGsacaTE,139348.0,4.0,2.3224666666666667
3M0lSi5WW79CXQamgSBIjx,Swim,Chase Atlantic,11300000,1,6.704935814536628e+18,78.0,0.666,0.542,8.0,-6.429,1.0,0.0392,0.27,0.0,0.0765,0.0771,120.134,audio_features,spotify:track:3M0lSi5WW79CXQamgSBIjx,https://api.spotify.com/v1/tracks/3M0lSi5WW79CXQamgSBIjx,https://api.spotify.com/v1/audio-analysis/3M0lSi5WW79CXQamgSBIjx,228787.0,4.0,3.8131166666666667
0eXkUXr4wJ3Orruk8S1cpW,girls like drugs,girls like drugs,433600,3,7.002182815370971e+18,53.0,0.791,0.775,1.0,-6.919,0.0,0.0676,0.0482,5.07e-06,0.0709,0.845,104.993,audio_features,spotify:track:0eXkUXr4wJ3Orruk8S1cpW,https://api.spotify.com/v1/tracks/0eXkUXr4wJ3Orruk8S1cpW,https://api.spotify.com/v1/audio-analysis/0eXkUXr4wJ3Orruk8S1cpW,174435.0,4.0,2.90725
4B3RbRUP0fl2KxaBWVUfo9,Beginning,Beginning,5100000,2,6.982757495714351e+18,55.0,0.118,0.0224,1.0,-30.543,1.0,0.0369,0.988,0.927,0.091,0.0378,78.558,audio_features,spotify:track:4B3RbRUP0fl2KxaBWVUfo9,https://api.spotify.com/v1/tracks/4B3RbRUP0fl2KxaBWVUfo9,https://api.spotify.com/v1/audio-analysis/4B3RbRUP0fl2KxaBWVUfo9,102101.0,4.0,1.7016833333333334
0ctnzpYGZ5izcx5at3214c,"The Power (From ""Bruce Almighty"")",Hot Stuff - Disco Divas,5400000,1,6.708593885913811e+18,0.0,0.776,0.789,10.0,-10.332,0.0,0.0528,0.000319,0.14,0.562,0.323,110.878,audio_features,spotify:track:0ctnzpYGZ5izcx5at3214c,https://api.spotify.com/v1/tracks/0ctnzpYGZ5izcx5at3214c,https://api.spotify.com/v1/audio-analysis/0ctnzpYGZ5izcx5at3214c,330485.0,4.0,5.508083333333333
4jbtL4tjkqghUvJknUqU1s,Way Less Sad,Way Less Sad,1100000,1,6.926876888103127e+18,67.0,0.701,0.547,2.0,-8.238,1.0,0.0483,0.00843,0.0,0.0987,0.4,140.015,audio_features,spotify:track:4jbtL4tjkqghUvJknUqU1s,https://api.spotify.com/v1/tracks/4jbtL4tjkqghUvJknUqU1s,https://api.spotify.com/v1/audio-analysis/4jbtL4tjkqghUvJknUqU1s,206108.0,4.0,3.4351333333333334
4uqh9bualXNHXXwO2wPorc,Daisies,Daisies,780700,1,6.826544736828918e+18,66.0,0.639,0.546,1.0,-5.382,1.0,0.0407,0.0837,0.0,0.122,0.149,122.179,audio_features,spotify:track:4uqh9bualXNHXXwO2wPorc,https://api.spotify.com/v1/tracks/4uqh9bualXNHXXwO2wPorc,https://api.spotify.com/v1/audio-analysis/4uqh9bualXNHXXwO2wPorc,173124.0,4.0,2.8854
2E24smtdPycODdZcdeObts,How to Be a Heartbreaker,Electra Heart (Deluxe),3000000,1,6.705026422030731e+18,49.0,0.634,0.84,5.0,-8.087,1.0,0.147,0.0177,0.0,0.0692,0.631,93.896,audio_features,spotify:track:2E24smtdPycODdZcdeObts,https://api.spotify.com/v1/tracks/2E24smtdPycODdZcdeObts,https://api.spotify.com/v1/audio-analysis/2E24smtdPycODdZcdeObts,169476.0,4.0,2.8246
