id,title,album,views,videos,tt_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6hkQ6OQ6nhe7QCckH91aGa,VICTORY,,13400000,2,6768680181654620162,60,0.597,0.755,4,-2.209,0,0.052,0.0423,0,0.582,0.0467,89.146,audio_features,spotify:track:6hkQ6OQ6nhe7QCckH91aGa,https://api.spotify.com/v1/tracks/6hkQ6OQ6nhe7QCckH91aGa,https://api.spotify.com/v1/audio-analysis/6hkQ6OQ6nhe7QCckH91aGa,238333,4
4gilSczQ7hbc30HXEaRLoT,Money (amended),,1800000,6,6623785008874130182,23,0.73,0.679,4,-6.798,0,0.389,0.00132,0,0.0615,0.387,80.632,audio_features,spotify:track:4gilSczQ7hbc30HXEaRLoT,https://api.spotify.com/v1/tracks/4gilSczQ7hbc30HXEaRLoT,https://api.spotify.com/v1/audio-analysis/4gilSczQ7hbc30HXEaRLoT,274333,4
6UT7KpL0wkYVBNSydJFCSi,Cricket Sound,Cricket Sound,103700,4,142677183981883392,55,0.461,0.00325,10,-46.251,0,0.0639,0.915,0.862,0.0594,0.0728,111.653,audio_features,spotify:track:6UT7KpL0wkYVBNSydJFCSi,https://api.spotify.com/v1/tracks/6UT7KpL0wkYVBNSydJFCSi,https://api.spotify.com/v1/audio-analysis/6UT7KpL0wkYVBNSydJFCSi,71000,4
2jRmKc69qzGKzGU9SdH5u7,El Diablo,El Diablo,207300,1,6932223497624094722,68,0.765,0.725,3,-3.391,0,0.142,0.00471,0.000194,0.154,0.578,75.003,audio_features,spotify:track:2jRmKc69qzGKzGU9SdH5u7,https://api.spotify.com/v1/tracks/2jRmKc69qzGKzGU9SdH5u7,https://api.spotify.com/v1/audio-analysis/2jRmKc69qzGKzGU9SdH5u7,146264,4
5vDy11kU1Mjhcix3BT8NRb,Blu Celeste,Blu Celeste,19700000,27,7004996762788186113,0,0.688,0.442,9,-5.611,1,0.0354,0.921,0,0.366,0.252,116.463,audio_features,spotify:track:5vDy11kU1Mjhcix3BT8NRb,https://api.spotify.com/v1/tracks/5vDy11kU1Mjhcix3BT8NRb,https://api.spotify.com/v1/audio-analysis/5vDy11kU1Mjhcix3BT8NRb,206379,4
5R4OMPuKD1yshMdbk8ibnS,Blah Blah Blah,Blah Blah Blah (Remixes),43600,2,6558929267751654400,59,0.416,0.704,4,-6.84,1,0.0343,0.0107,0.0571,0.172,0.38,89.946,audio_features,spotify:track:5R4OMPuKD1yshMdbk8ibnS,https://api.spotify.com/v1/tracks/5R4OMPuKD1yshMdbk8ibnS,https://api.spotify.com/v1/audio-analysis/5R4OMPuKD1yshMdbk8ibnS,230951,4
0CgBnJHPjdWQ2gu3McSxi8,Της Εκκλησίας Τα Άνθη,Μύρον Μελωδικόν: Όρθρος Αγίου Νικολάου,1831,3,6818728805583030274,0,0.259,0.184,9,-16.14,0,0.0363,0.996,1.61e-05,0.151,0.369,139.93,audio_features,spotify:track:0CgBnJHPjdWQ2gu3McSxi8,https://api.spotify.com/v1/tracks/0CgBnJHPjdWQ2gu3McSxi8,https://api.spotify.com/v1/audio-analysis/0CgBnJHPjdWQ2gu3McSxi8,89391,4
39MrR5S7Jbunc7sR9m5Uoh,Danza Kuduro 2019 - Diamont Dr,Danza Kuduro 2019 - Luigi Ramirez Remix,33500000,28,5000000001463939441,33,0.857,0.714,7,-6.401,1,0.168,0.00233,0.0251,0.0195,0.429,130.044,audio_features,spotify:track:39MrR5S7Jbunc7sR9m5Uoh,https://api.spotify.com/v1/tracks/39MrR5S7Jbunc7sR9m5Uoh,https://api.spotify.com/v1/audio-analysis/39MrR5S7Jbunc7sR9m5Uoh,180705,4
0IktbUcnAGrvD03AWnz3Q8, Lucky ,,29700,2,6655495157053393666,75,0.623,0.417,0,-8.699,1,0.0354,0.296,0,0.135,0.721,130.032,audio_features,spotify:track:0IktbUcnAGrvD03AWnz3Q8,https://api.spotify.com/v1/tracks/0IktbUcnAGrvD03AWnz3Q8,https://api.spotify.com/v1/audio-analysis/0IktbUcnAGrvD03AWnz3Q8,191360,4
4hHbeIIKO5Y5uLyIEbY9Gn,Come Fly With Me,The Amazing Frank Sinatra Vol. 01,815000,1,6769427080900773889,68,0.574,0.338,6,-11.376,1,0.042,0.845,0,0.165,0.493,67.008,audio_features,spotify:track:4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/tracks/4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/audio-analysis/4hHbeIIKO5Y5uLyIEbY9Gn,199093,4
